source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0042088,T-helper 1 type immune response,8.833583015964795e-14,True,"""An immune response which is associated with resistance to intracellular bacteria, fungi, and protozoa, and pathological conditions such as arthritis, and which is typically orchestrated by the production of particular cytokines by T-helper 1 cells, most notably interferon-gamma, IL-2, and lymphotoxin."" [GOC:add, ISBN:0781735149]",50,595,19,20972,0.031932773109243695,0.38,query_1,['GO:0002460']
GO:BP,GO:0045089,positive regulation of innate immune response,9.243022783892354e-14,True,"""Any process that activates or increases the frequency, rate or extent of the innate immune response, the organism's first line of defense against infection."" [GOC:ebc]",388,595,47,20972,0.07899159663865546,0.1211340206185567,query_1,"['GO:0002833', 'GO:0031349', 'GO:0032103', 'GO:0045087', 'GO:0045088', 'GO:0050778']"
GO:BP,GO:0006468,protein phosphorylation,9.409373048674519e-14,True,"""The process of introducing a phosphate group on to a protein."" [GOC:hb]",982,595,79,20972,0.13277310924369748,0.08044806517311609,query_1,"['GO:0016310', 'GO:0036211']"
GO:BP,GO:0035710,"CD4-positive, alpha-beta T cell activation",1.0183602443981387e-13,True,"""The change in morphology and behavior of a CD4-positive, alpha-beta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [CL:0000624, GOC:BHF]",131,595,28,20972,0.047058823529411764,0.21374045801526717,query_1,['GO:0046631']
GO:MF,GO:0016493,C-C chemokine receptor activity,1.1252072900645256e-13,True,"""Combining with a C-C chemokine and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity. C-C chemokines do not have an amino acid between the first two cysteines of the characteristic four-cysteine motif."" [GOC:signaling, PMID:8662823]",23,594,14,20208,0.02356902356902357,0.6086956521739131,query_1,['GO:0004950']
GO:BP,GO:0036336,dendritic cell migration,1.239701703866697e-13,True,"""The movement of a dendritic cell within or between different tissues and organs of the body."" [CL:0000451, GOC:nhn, PMID:19339990]",32,595,16,20972,0.02689075630252101,0.5,query_1,['GO:0071674']
GO:BP,GO:0034612,response to tumor necrosis factor,1.2813866276106872e-13,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."" [GOC:mah]",216,595,35,20972,0.058823529411764705,0.16203703703703703,query_1,['GO:0034097']
GO:BP,GO:0002820,negative regulation of adaptive immune response,1.345551629232133e-13,True,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of an adaptive immune response."" [GOC:add]",66,595,21,20972,0.03529411764705882,0.3181818181818182,query_1,"['GO:0002250', 'GO:0002819', 'GO:0050777']"
GO:BP,GO:0050864,regulation of B cell activation,1.5526454203765158e-13,True,"""Any process that modulates the frequency, rate or extent of B cell activation."" [GOC:ai]",133,595,28,20972,0.047058823529411764,0.21052631578947367,query_1,"['GO:0042113', 'GO:0051249']"
GO:BP,GO:0045446,endothelial cell differentiation,1.560672284995369e-13,True,"""The process in which a mesodermal, bone marrow or neural crest cell acquires specialized features of an endothelial cell, a thin flattened cell. A layer of such cells lines the inside surfaces of body cavities, blood vessels, and lymph vessels, making up the endothelium."" [CL:0000115, GOC:go_curators]",112,595,26,20972,0.043697478991596636,0.23214285714285715,query_1,"['GO:0003158', 'GO:0030855']"
GO:BP,GO:0002520,immune system development,1.7271443583089368e-13,True,"""The process whose specific outcome is the progression of an organismal system whose objective is to provide calibrated responses by an organism to a potential internal or invasive threat, over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:add, GOC:dph]",205,595,34,20972,0.05714285714285714,0.16585365853658537,query_1,"['GO:0002376', 'GO:0048731']"
GO:BP,GO:0032653,regulation of interleukin-10 production,1.8046008817526819e-13,True,"""Any process that modulates the frequency, rate, or extent of interleukin-10 production."" [GOC:mah]",59,595,20,20972,0.03361344537815126,0.3389830508474576,query_1,"['GO:0001817', 'GO:0032613']"
GO:BP,GO:0032613,interleukin-10 production,1.8046008817526819e-13,True,"""The appearance of interleukin-10 due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:mah]",59,595,20,20972,0.03361344537815126,0.3389830508474576,query_1,['GO:0001816']
WP,WP:WP5055,Burn wound healing,1.949371329756593e-13,True,Burn wound healing,75,490,27,8899,0.05510204081632653,0.36,query_1,['WP:000000']
KEGG,KEGG:04148,Efferocytosis,2.0511051640881754e-13,True,Efferocytosis,157,497,39,8716,0.07847082494969819,0.2484076433121019,query_1,['KEGG:00000']
GO:BP,GO:2000404,regulation of T cell migration,2.1041625156362632e-13,True,"""Any process that modulates the frequency, rate or extent of T cell migration."" [GOC:mah]",52,595,19,20972,0.031932773109243695,0.36538461538461536,query_1,"['GO:0072678', 'GO:2000401']"
GO:BP,GO:0045621,positive regulation of lymphocyte differentiation,2.3484904012573375e-13,True,"""Any process that activates or increases the frequency, rate or extent of lymphocyte differentiation."" [GOC:go_curators]",135,595,28,20972,0.047058823529411764,0.2074074074074074,query_1,"['GO:0030098', 'GO:0045619', 'GO:0051251', 'GO:1902107']"
GO:BP,GO:0051960,regulation of nervous system development,2.372436750980377e-13,True,"""Any process that modulates the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue."" [GOC:ai]",430,595,49,20972,0.08235294117647059,0.11395348837209303,query_1,"['GO:0007399', 'GO:2000026']"
GO:BP,GO:1904646,cellular response to amyloid-beta,2.479869838808451e-13,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a amyloid-beta stimulus."" [GO_REF:0000071, GOC:TermGenie, PMID:23555824]",39,595,17,20972,0.02857142857142857,0.4358974358974359,query_1,"['GO:1901699', 'GO:1901701', 'GO:1904645']"
GO:CC,GO:0042613,MHC class II protein complex,2.5634921893047493e-13,True,"""A transmembrane protein complex composed of an MHC class II alpha and MHC class II beta chain, and with or without a bound peptide or polysaccharide antigen."" [GOC:add, GOC:jl, ISBN:0120781859, PMID:15928678]",17,601,12,22155,0.019966722129783693,0.7058823529411765,query_1,['GO:0042611']
GO:MF,GO:0019957,C-C chemokine binding,2.6281572004767315e-13,True,"""Binding to a C-C chemokine; C-C chemokines do not have an amino acid between the first two cysteines of the characteristic four-cysteine motif."" [GOC:ai]",24,594,14,20208,0.02356902356902357,0.5833333333333334,query_1,['GO:0019956']
GO:BP,GO:1905517,macrophage migration,2.636202268898951e-13,True,"""The orderly movement of a macrophage from one site to another."" [GO_REF:0000091, GOC:TermGenie, PMID:25749876]",60,595,20,20972,0.03361344537815126,0.3333333333333333,query_1,"['GO:0071674', 'GO:0097529']"
GO:BP,GO:0043406,positive regulation of MAP kinase activity,2.636202268898951e-13,True,"""Any process that activates or increases the frequency, rate or extent of MAP kinase activity."" [GOC:dph, GOC:go_curators]",60,595,20,20972,0.03361344537815126,0.3333333333333333,query_1,"['GO:0043405', 'GO:0043410', 'GO:0071902']"
GO:CC,GO:0005604,basement membrane,3.4820273127511696e-13,True,"""A collagen-containing extracellular matrix consisting of a thin layer of dense material found in various animal tissues interposed between the cells and the adjacent connective tissue. It consists of the basal lamina plus an associated layer of reticulin fibers."" [PMID:22505934, PMID:33605520, PMID:39223427]",97,601,23,22155,0.03826955074875208,0.23711340206185566,query_1,['GO:0031012']
GO:BP,GO:0032722,positive regulation of chemokine production,3.7647042238524493e-13,True,"""Any process that activates or increases the frequency, rate, or extent of chemokine production."" [GOC:mah]",69,595,21,20972,0.03529411764705882,0.30434782608695654,query_1,"['GO:0001819', 'GO:0032602', 'GO:0032642']"
GO:BP,GO:0002889,regulation of immunoglobulin mediated immune response,3.8197176791472893e-13,True,"""Any process that modulates the frequency, rate, or extent of an immunoglobulin mediated immune response."" [GOC:add]",61,595,20,20972,0.03361344537815126,0.32786885245901637,query_1,"['GO:0002712', 'GO:0016064']"
GO:BP,GO:0032615,interleukin-12 production,3.8197176791472893e-13,True,"""The appearance of interleukin-12 due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:mah]",61,595,20,20972,0.03361344537815126,0.32786885245901637,query_1,['GO:0001816']
GO:BP,GO:0032655,regulation of interleukin-12 production,3.8197176791472893e-13,True,"""Any process that modulates the frequency, rate, or extent of interleukin-12 production."" [GOC:mah]",61,595,20,20972,0.03361344537815126,0.32786885245901637,query_1,"['GO:0001817', 'GO:0032615']"
GO:BP,GO:0032720,negative regulation of tumor necrosis factor production,3.8197176791472893e-13,True,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of tumor necrosis factor production."" [GOC:mah, PMID:10891884, PMID:15560120]",61,595,20,20972,0.03361344537815126,0.32786885245901637,query_1,"['GO:0032640', 'GO:0032680', 'GO:1903556']"
GO:BP,GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,3.8197176791472893e-13,True,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of an adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains. An example of this process is found in the Gnathostomata."" [GOC:add, GOC:mtg_sensu]",61,595,20,20972,0.03361344537815126,0.32786885245901637,query_1,"['GO:0002460', 'GO:0002820', 'GO:0002822']"
GO:BP,GO:0002712,regulation of B cell mediated immunity,3.8197176791472893e-13,True,"""Any process that modulates the frequency, rate, or extent of B cell mediated immunity."" [GOC:add]",61,595,20,20972,0.03361344537815126,0.32786885245901637,query_1,"['GO:0002706', 'GO:0002822', 'GO:0019724']"
GO:BP,GO:0043405,regulation of MAP kinase activity,3.938801124172687e-13,True,"""Any process that modulates the frequency, rate or extent of MAP kinase activity."" [GOC:dph, GOC:go_curators]",96,595,24,20972,0.040336134453781515,0.25,query_1,['GO:0071900']
GO:BP,GO:0032755,positive regulation of interleukin-6 production,3.938801124172687e-13,True,"""Any process that activates or increases the frequency, rate, or extent of interleukin-6 production."" [GOC:mah]",96,595,24,20972,0.040336134453781515,0.25,query_1,"['GO:0001819', 'GO:0032635', 'GO:0032675']"
GO:BP,GO:0002717,positive regulation of natural killer cell mediated immunity,4.312429113744729e-13,True,"""Any process that activates or increases the frequency, rate, or extent of natural killer cell mediated immunity."" [GOC:add]",34,595,16,20972,0.02689075630252101,0.47058823529411764,query_1,"['GO:0002228', 'GO:0002708', 'GO:0002715', 'GO:0045089']"
GO:BP,GO:0019884,antigen processing and presentation of exogenous antigen,5.086607399457945e-13,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or lipid) of exogenous origin on its cell surface in association with an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",47,595,18,20972,0.030252100840336135,0.3829787234042553,query_1,['GO:0019882']
GO:BP,GO:0030101,natural killer cell activation,5.096800560516047e-13,True,"""The change in morphology and behavior of a natural killer cell in response to a cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]",97,595,24,20972,0.040336134453781515,0.24742268041237114,query_1,['GO:0046649']
GO:BP,GO:2001235,positive regulation of apoptotic signaling pathway,5.251826965545254e-13,True,"""Any process that activates or increases the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]",139,595,28,20972,0.047058823529411764,0.2014388489208633,query_1,"['GO:0009967', 'GO:0043065', 'GO:0097190', 'GO:2001233']"
GO:BP,GO:0050679,positive regulation of epithelial cell proliferation,5.804805290981985e-13,True,"""Any process that activates or increases the rate or extent of epithelial cell proliferation."" [GOC:ai]",200,595,33,20972,0.05546218487394958,0.165,query_1,"['GO:0008284', 'GO:0050673', 'GO:0050678']"
GO:MF,GO:0032813,tumor necrosis factor receptor superfamily binding,5.855647748969327e-13,True,"""Binding to a member of the tumor necrosis factor receptor superfamily."" [GOC:add]",49,594,18,20208,0.030303030303030304,0.3673469387755102,query_1,['GO:0005126']
GO:CC,GO:0002116,semaphorin receptor complex,5.950408952606917e-13,True,"""A stable binary complex of a semaphorin and a plexin, together forming a functional semaphorin receptor."" [GOC:hjd, PMID:10934324, PMID:12367632, PMID:12613544]",14,601,11,22155,0.018302828618968387,0.7857142857142857,query_1,['GO:0043235']
GO:BP,GO:0002716,negative regulation of natural killer cell mediated immunity,6.183034857739882e-13,True,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of natural killer cell mediated immunity."" [GOC:add]",24,595,14,20972,0.023529411764705882,0.5833333333333334,query_1,"['GO:0002228', 'GO:0002707', 'GO:0002715', 'GO:0045824']"
KEGG,KEGG:05416,Viral myocarditis,6.307110311636699e-13,True,Viral myocarditis,66,497,25,8716,0.05030181086519115,0.3787878787878788,query_1,['KEGG:00000']
GO:BP,GO:0061041,regulation of wound healing,6.524793585212313e-13,True,"""Any process that modulates the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury."" [GOC:BHF, GOC:dph]",129,595,27,20972,0.0453781512605042,0.20930232558139536,query_1,"['GO:0042060', 'GO:1903034']"
GO:BP,GO:0032689,negative regulation of type II interferon production,6.989200467800989e-13,True,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of interferon-gamma production. Interferon-gamma is also known as type II interferon."" [GOC:add, GOC:mah, PMID:15546383]",41,595,17,20972,0.02857142857142857,0.4146341463414634,query_1,"['GO:0001818', 'GO:0032609', 'GO:0032649']"
GO:BP,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,7.381284582319823e-13,True,"""A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation or inhibition of adenylyl cyclase activity and a subsequent change in the intracellular concentration of cyclic AMP (cAMP)."" [GOC:mah, GOC:signaling, ISBN:0815316194]",270,595,38,20972,0.06386554621848739,0.14074074074074075,query_1,['GO:0007186']
GO:BP,GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,7.835372264257722e-13,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of tumor necrosis factor superfamily cytokine production."" [GO_REF:0000058, GOC:TermGenie, PMID:24187568]",63,595,20,20972,0.03361344537815126,0.31746031746031744,query_1,"['GO:0001818', 'GO:0071706', 'GO:1903555']"
GO:BP,GO:0001936,regulation of endothelial cell proliferation,8.019645332780494e-13,True,"""Any process that modulates the frequency, rate, or extent of endothelial cell proliferation."" [GOC:add]",130,595,27,20972,0.0453781512605042,0.2076923076923077,query_1,"['GO:0001935', 'GO:0050678']"
GO:CC,GO:0070821,tertiary granule membrane,9.394298406492081e-13,True,"""The lipid bilayer surrounding a tertiary granule."" [GOC:BHF, GOC:mah, GOC:rl, PMID:12070036]",72,601,20,22155,0.033277870216306155,0.2777777777777778,query_1,"['GO:0030667', 'GO:0070820']"
REAC,REAC:R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,1.0174242856815726e-12,True,TNFR2 non-canonical NF-kB pathway,100,538,29,11056,0.05390334572490706,0.29,query_1,['REAC:R-HSA-1280215']
GO:BP,GO:0001935,endothelial cell proliferation,1.018955805934693e-12,True,"""The multiplication or reproduction of endothelial cells, resulting in the expansion of a cell population. Endothelial cells are thin flattened cells which line the inside surfaces of body cavities, blood vessels, and lymph vessels, making up the endothelium."" [GOC:add, ISBN:0781735149]",154,595,29,20972,0.04873949579831933,0.18831168831168832,query_1,['GO:0050673']
GO:BP,GO:0032757,positive regulation of interleukin-8 production,1.1099265921723317e-12,True,"""Any process that activates or increases the frequency, rate, or extent of interleukin-8 production."" [GOC:mah]",64,595,20,20972,0.03361344537815126,0.3125,query_1,"['GO:0001819', 'GO:0032637', 'GO:0032677']"
KEGG,KEGG:04145,Phagosome,1.1325342573210085e-12,True,Phagosome,149,497,37,8716,0.0744466800804829,0.2483221476510067,query_1,['KEGG:00000']
GO:BP,GO:0051179,localization,1.1906438222691564e-12,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5493,595,245,20972,0.4117647058823529,0.04460222100855635,query_1,['GO:0008150']
HPA,HPA:0401332,Rectum; mucosal lymphoid cells[≥Medium],1.201998471061481e-12,True,Rectum; mucosal lymphoid cells[≥Medium],399,420,52,11007,0.12380952380952381,0.13032581453634084,query_1,['HPA:0401331']
GO:BP,GO:0071526,semaphorin-plexin signaling pathway,1.220238372748345e-12,True,"""The series of molecular signals generated as a consequence of a semaphorin receptor (composed of a plexin and a neurophilin) binding to a semaphorin ligand."" [GOC:BHF, GOC:mah, GOC:vk, PMID:15239959]",49,595,18,20972,0.030252100840336135,0.3673469387755102,query_1,['GO:0007166']
WP,WP:WP4217,Ebola virus infection in host,1.22576200704505e-12,True,Ebola virus infection in host,128,490,34,8899,0.06938775510204082,0.265625,query_1,['WP:000000']
GO:MF,GO:0001637,G protein-coupled chemoattractant receptor activity,1.2257693811966406e-12,True,"""Combining with a chemoattractant and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex."" [GOC:bf, GOC:mah]",26,594,14,20208,0.02356902356902357,0.5384615384615384,query_1,['GO:0004930']
GO:MF,GO:0004950,chemokine receptor activity,1.2257693811966406e-12,True,"""Combining with a chemokine, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity. Chemokines are a family of small chemotactic cytokines; their name is derived from their ability to induce directed chemotaxis in nearby responsive cells. All chemokines possess a number of conserved cysteine residues involved in intramolecular disulfide bond formation. Some chemokines are considered pro-inflammatory and can be induced during an immune response to recruit cells of the immune system to a site of infection, while others are considered homeostatic and are involved in controlling the migration of cells during normal processes of tissue maintenance or development. Chemokines are found in all vertebrates, some viruses and some bacteria."" [GOC:BHF, GOC:rl, GOC:signaling, IUPHAR_GPCR:1280, PMID:12183377, PMID:8662823, Wikipedia:Chemokine]",26,594,14,20208,0.02356902356902357,0.5384615384615384,query_1,"['GO:0001637', 'GO:0004896']"
KEGG,KEGG:04610,Complement and coagulation cascades,1.3048311428800773e-12,True,Complement and coagulation cascades,86,497,28,8716,0.056338028169014086,0.32558139534883723,query_1,['KEGG:00000']
GO:CC,GO:0010008,endosome membrane,1.3286004270201484e-12,True,"""The lipid bilayer surrounding an endosome."" [GOC:mah]",585,601,54,22155,0.08985024958402663,0.09230769230769231,query_1,"['GO:0005768', 'GO:0030659', 'GO:0098588']"
GO:BP,GO:0030099,myeloid cell differentiation,1.358220801972442e-12,True,"""The process in which a relatively unspecialized myeloid precursor cell acquires the specialized features of any cell of the myeloid leukocyte, megakaryocyte, thrombocyte, or erythrocyte lineages."" [GOC:add, ISBN:0781735149]",449,595,49,20972,0.08235294117647059,0.1091314031180401,query_1,"['GO:0030097', 'GO:0030154']"
GO:BP,GO:0046635,positive regulation of alpha-beta T cell activation,1.361440074921751e-12,True,"""Any process that activates or increases the frequency, rate or extent of alpha-beta T cell activation."" [GOC:ai]",73,595,21,20972,0.03529411764705882,0.2876712328767123,query_1,"['GO:0046631', 'GO:0046634', 'GO:0050870']"
REAC,REAC:R-HSA-1474228,Degradation of the extracellular matrix,1.376262052911761e-12,True,Degradation of the extracellular matrix,140,538,34,11056,0.06319702602230483,0.24285714285714285,query_1,['REAC:R-HSA-1474244']
GO:BP,GO:0002009,morphogenesis of an epithelium,1.3792207257278314e-12,True,"""The process in which the anatomical structures of epithelia are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube."" [GOC:dph, GOC:jl, GOC:tb, ISBN:0198506732]",501,595,52,20972,0.08739495798319327,0.10379241516966067,query_1,"['GO:0048729', 'GO:0060429']"
HP,HP:0002960,Autoimmunity,1.4716710071525e-12,True,The occurrence of an immune reaction against the organism's own cells or tissues.,322,239,51,5200,0.21338912133891214,0.15838509316770186,query_1,['HP:0010978']
GO:BP,GO:0045860,positive regulation of protein kinase activity,1.671242145674776e-12,True,"""Any process that activates or increases the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]",194,595,32,20972,0.05378151260504202,0.16494845360824742,query_1,"['GO:0001934', 'GO:0033674', 'GO:0045859']"
GO:BP,GO:0010594,regulation of endothelial cell migration,1.7160474427527115e-12,True,"""Any process that modulates the rate, frequency, or extent of the orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:BHF, GOC:dph, GOC:tb]",169,595,30,20972,0.05042016806722689,0.17751479289940827,query_1,"['GO:0030334', 'GO:0043542']"
GO:BP,GO:0061900,glial cell activation,1.856933552954507e-12,True,"""A change in morphology and behavior of a glial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:aruk, GOC:bc, PMID:18723082]",50,595,18,20972,0.030252100840336135,0.36,query_1,"['GO:0001775', 'GO:0150076']"
REAC,REAC:R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,1.881798018686568e-12,True,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,16,538,13,11056,0.024163568773234202,0.8125,query_1,['REAC:R-HSA-5668541']
GO:BP,GO:0097485,neuron projection guidance,1.899852718380847e-12,True,"""The process in which the migration of a neuron projection is directed to a specific target site in response to a combination of attractive and repulsive cues."" [GOC:BHF, GOC:rl, PMID:22790009]",235,595,35,20972,0.058823529411764705,0.14893617021276595,query_1,"['GO:0031175', 'GO:0048812']"
GO:BP,GO:0035924,cellular response to vascular endothelial growth factor stimulus,2.0868124929975234e-12,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a vascular endothelial growth factor stimulus."" [GOC:BHF, GOC:rl, PMID:18440775]",113,595,25,20972,0.04201680672268908,0.22123893805309736,query_1,['GO:0071363']
GO:BP,GO:0019883,antigen processing and presentation of endogenous antigen,2.2419161476060626e-12,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or lipid) of endogenous origin on its cell surface in association with an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",31,595,15,20972,0.025210084033613446,0.4838709677419355,query_1,['GO:0019882']
GO:BP,GO:0050808,synapse organization,2.2929091231584735e-12,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai, GOC:pr]",561,595,55,20972,0.09243697478991597,0.09803921568627451,query_1,['GO:0034330']
GO:BP,GO:0009628,response to abiotic stimulus,2.797452973694441e-12,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1108,595,82,20972,0.13781512605042018,0.0740072202166065,query_1,['GO:0050896']
GO:MF,GO:0002020,protease binding,2.873794040565282e-12,True,"""Binding to a protease or a peptidase."" [GOC:hjd]",139,594,27,20208,0.045454545454545456,0.19424460431654678,query_1,['GO:0019899']
GO:BP,GO:0002920,regulation of humoral immune response,2.923918875283034e-12,True,"""Any process that modulates the frequency, rate, or extent of a humoral immune response."" [GOC:add]",44,595,17,20972,0.02857142857142857,0.38636363636363635,query_1,"['GO:0006959', 'GO:0050776']"
GO:BP,GO:0071356,cellular response to tumor necrosis factor,3.0606148738852734e-12,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."" [GOC:mah]",198,595,32,20972,0.05378151260504202,0.16161616161616163,query_1,"['GO:0034612', 'GO:0071345']"
KEGG,KEGG:05145,Toxoplasmosis,3.2295691708896493e-12,True,Toxoplasmosis,109,497,31,8716,0.06237424547283702,0.28440366972477066,query_1,['KEGG:00000']
GO:BP,GO:0050818,regulation of coagulation,3.369547043215375e-12,True,"""Any process that modulates the frequency, rate or extent of coagulation, the process in which a fluid solution, or part of it, changes into a solid or semisolid mass."" [GOC:ai]",76,595,21,20972,0.03529411764705882,0.27631578947368424,query_1,"['GO:0050817', 'GO:0051239']"
REAC,REAC:R-HSA-3000178,ECM proteoglycans,3.4529440187010353e-12,True,ECM proteoglycans,76,538,25,11056,0.046468401486988845,0.32894736842105265,query_1,['REAC:R-HSA-1474244']
GO:BP,GO:0040007,growth,3.458049948196827e-12,True,"""The increase in size or mass of an entire organism, a part of an organism or a cell."" [GOC:bf, GOC:ma]",920,595,73,20972,0.1226890756302521,0.07934782608695652,query_1,['GO:0008150']
KEGG,KEGG:04512,ECM-receptor interaction,3.505196020049583e-12,True,ECM-receptor interaction,89,497,28,8716,0.056338028169014086,0.3146067415730337,query_1,['KEGG:00000']
GO:BP,GO:0061564,axon development,3.68478240549287e-12,True,"""The progression of an axon over time. Covers axonogenesis (de novo generation of an axon) and axon regeneration (regrowth), as well as processes pertaining to the progression of the axon over time (fasciculation and defasciculation)."" [GOC:dph, GOC:pg, GOC:pr]",513,595,52,20972,0.08739495798319327,0.10136452241715399,query_1,['GO:0031175']
GO:BP,GO:0031342,negative regulation of cell killing,4.1106920098584755e-12,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell killing."" [GOC:mah]",32,595,15,20972,0.025210084033613446,0.46875,query_1,"['GO:0001906', 'GO:0031341', 'GO:0048523']"
GO:BP,GO:0048002,antigen processing and presentation of peptide antigen,4.178859175454436e-12,True,"""The process in which an antigen-presenting cell expresses peptide antigen in association with an MHC protein complex on its cell surface, including proteolysis and transport steps for the peptide antigen both prior to and following assembly with the MHC protein complex. The peptide antigen is typically, but not always, processed from an endogenous or exogenous protein."" [GOC:add, ISBN:0781735149, PMID:15771591]",68,595,20,20972,0.03361344537815126,0.29411764705882354,query_1,['GO:0019882']
GO:BP,GO:0045596,negative regulation of cell differentiation,4.896040217369096e-12,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell differentiation."" [GOC:go_curators]",665,595,60,20972,0.10084033613445378,0.09022556390977443,query_1,"['GO:0030154', 'GO:0045595', 'GO:0048523', 'GO:0051093']"
GO:BP,GO:0071887,leukocyte apoptotic process,4.979667790392774e-12,True,"""Any apoptotic process in a leukocyte, an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."" [CL:0000738, GOC:BHF, GOC:mah, GOC:mtg_apoptosis]",117,595,25,20972,0.04201680672268908,0.21367521367521367,query_1,['GO:0006915']
GO:MF,GO:0019899,enzyme binding,5.49149873384044e-12,True,"""Binding to an enzyme, a protein with catalytic activity."" [GOC:jl]",2060,594,123,20208,0.20707070707070707,0.05970873786407767,query_1,['GO:0005515']
GO:CC,GO:0008305,integrin complex,5.740629830529991e-12,True,"""A protein complex that is composed of one alpha subunit and one beta subunit, both of which are members of the integrin superfamily of cell adhesion receptors; the complex spans the plasma membrane and binds to extracellular matrix ligands, cell-surface ligands, and soluble ligands."" [PMID:17543136]",31,601,14,22155,0.02329450915141431,0.45161290322580644,query_1,"['GO:0098636', 'GO:0098802']"
GO:BP,GO:0002573,myeloid leukocyte differentiation,6.186725389818683e-12,True,"""The process in which a relatively unspecialized myeloid precursor cell acquires the specialized features of any cell of the myeloid leukocyte lineage."" [GOC:add, PMID:16551251]",244,595,35,20972,0.058823529411764705,0.14344262295081966,query_1,"['GO:0002521', 'GO:0030099']"
WP,WP:WP5095,Overview of proinflammatory and profibrotic mediators,6.2833445919120945e-12,True,Overview of proinflammatory and profibrotic mediators,127,490,33,8899,0.0673469387755102,0.25984251968503935,query_1,['WP:000000']
GO:BP,GO:0031401,positive regulation of protein modification process,6.6543241912789026e-12,True,"""Any process that activates or increases the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]",450,595,48,20972,0.08067226890756303,0.10666666666666667,query_1,"['GO:0031399', 'GO:0036211', 'GO:0051247']"
